before ##############################
cost: 0.00417907
total mass  : 125.664
partial mass: 125.664
XM
-0.131281 -0.0160548 0.44477
-0.0877955 -0.0161971 0.444727
-0.0439802 -0.0162825 0.444701
5.28952e-15 -0.016311 0.444692
0.0439802 -0.0162825 0.444701
0.0877955 -0.0161971 0.444727
0.131281 -0.0160548 0.44477
0.174273 -0.0158556 0.444829
0.216609 -0.0155995 0.444903
0.258125 -0.0152866 0.444992
0.298662 -0.014917 0.445094
0.338061 -0.014491 0.445207
0.376168 -0.0140088 0.445329
0.412829 -0.0134709 0.445459
0.447898 -0.012878 0.445594
0.481231 -0.0122309 0.445733
0.512692 -0.011531 0.445873
0.54215 -0.0107797 0.446013
0.569483 -0.00997896 0.446149
0.594575 -0.00913113 0.44628
0.617321 -0.00823903 0.446403
0.637624 -0.00730596 0.446517
0.655399 -0.00633569 0.44662
0.670569 -0.00533249 0.44671
0.683071 -0.00430107 0.446785
0.69285 -0.00324652 0.446845
0.699865 -0.00217431 0.446889
0.704086 -0.00109016 0.446915
-----------------------------------
-----------------------------------
counter: 5
cost: 1.74651e-09
total mass  : 44.5806
partial mass: 44.5806
XM
0.705527 2.56354e-16 0.446924
0.704117 0.00109047 0.446915
0.699894 0.0021749 0.446889
0.692876 0.00324736 0.446845
0.683092 0.00430211 0.446785
0.670585 0.00533367 0.446709
0.655407 0.00633695 0.44662
0.637624 0.00730724 0.446517
0.617312 0.0082403 0.446403
0.594556 0.00913238 0.446279
0.569454 0.00998018 0.446149
0.542111 0.0107809 0.446013
0.512643 0.0115323 0.445873
0.481174 0.0122324 0.445733
0.447833 0.0128796 0.445594
0.412758 0.0134728 0.445459
0.376093 0.014011 0.445329
0.337985 0.0144937 0.445207
0.298587 0.0149202 0.445094
0.258055 0.0152903 0.444992
0.216545 0.0156037 0.444904
0.174219 0.0158603 0.444829
0.131238 0.0160599 0.44477
0.0877658 0.0162025 0.444727
0.043965 0.0162881 0.444701
5.82017e-15 0.0163166 0.444692
-0.043965 0.0162881 0.444701
-0.0877658 0.0162025 0.444727
-0.131238 0.0160599 0.44477
-0.174219 0.0158603 0.444829
-0.216545 0.0156037 0.444904
-0.258055 0.0152903 0.444992
-0.298587 0.0149202 0.445094
-0.337985 0.0144937 0.445207
-0.376093 0.014011 0.445329
-0.412758 0.0134728 0.445459
-0.447833 0.0128796 0.445594
-0.481174 0.0122324 0.445733
-0.512643 0.0115323 0.445873
-0.542111 0.0107809 0.446013
-0.569454 0.00998018 0.446149
-0.594556 0.00913238 0.446279
-0.617312 0.0082403 0.446403
-0.637624 0.00730724 0.446517
-0.655407 0.00633695 0.44662
-0.670585 0.00533367 0.446709
-0.683092 0.00430211 0.446785
-0.692876 0.00324736 0.446845
-0.699894 0.0021749 0.446889
-0.704117 0.00109047 0.446915
-0.705527 3.6896e-16 0.446924
-0.704117 -0.00109047 0.446915
-0.699894 -0.0021749 0.446889
-0.692876 -0.00324736 0.446845
-0.683092 -0.00430211 0.446785
-0.670585 -0.00533367 0.446709
-0.655407 -0.00633695 0.44662
-0.637624 -0.00730724 0.446517
-0.617312 -0.0082403 0.446403
-0.594556 -0.00913238 0.446279
-0.569454 -0.00998018 0.446149
-0.542111 -0.0107809 0.446013
-0.512643 -0.0115323 0.445873
-0.481174 -0.0122324 0.445733
-0.447833 -0.0128796 0.445594
-0.412758 -0.0134728 0.445459
-0.376093 -0.014011 0.445329
-0.337985 -0.0144937 0.445207
-0.298587 -0.0149202 0.445094
-0.258055 -0.0152903 0.444992
-0.216545 -0.0156037 0.444904
-0.174219 -0.0158603 0.444829
-0.131238 -0.0160599 0.44477
-0.0877658 -0.0162025 0.444727
-0.043965 -0.0162881 0.444701
5.88168e-15 -0.0163166 0.444692
0.043965 -0.0162881 0.444701
0.0877658 -0.0162025 0.444727
0.131238 -0.0160599 0.44477
0.174219 -0.0158603 0.444829
0.216545 -0.0156037 0.444904
0.258055 -0.0152903 0.444992
0.298587 -0.0149202 0.445094
0.337985 -0.0144937 0.445207
0.376093 -0.014011 0.445329
0.412758 -0.0134728 0.445459
0.447833 -0.0128796 0.445594
0.481174 -0.0122324 0.445733
0.512643 -0.0115323 0.445873
0.542111 -0.0107809 0.446013
0.569454 -0.00998018 0.446149
0.594556 -0.00913238 0.446279
0.617312 -0.0082403 0.446403
0.637624 -0.00730724 0.446517
0.655407 -0.00633695 0.44662
0.670585 -0.00533367 0.446709
0.683092 -0.00430211 0.446785
0.692876 -0.00324736 0.446845
0.699894 -0.0021749 0.446889
0.704117 -0.00109047 0.446915
-----------------------------------
