before ##############################
cost: 0.417967
total mass  : 125.664
partial mass: 125.664
XM
0.554445 -0.103938 0.444721
0.523404 -0.112201 0.444703
0.490425 -0.120105 0.444685
0.455664 -0.127604 0.444668
0.41928 -0.134653 0.44465
0.381429 -0.141204 0.444634
0.34227 -0.147213 0.444618
0.301958 -0.152635 0.444604
0.260646 -0.157429 0.444591
0.218485 -0.161556 0.44458
0.175622 -0.164982 0.444571
0.132201 -0.167679 0.444563
0.0883636 -0.169622 0.444558
0.0442506 -0.170795 0.444555
1.48139e-16 -0.171187 0.444554
-0.0442506 -0.170795 0.444555
-0.0883636 -0.169622 0.444558
-0.132201 -0.167679 0.444563
-0.175622 -0.164982 0.444571
-0.218485 -0.161556 0.44458
-0.260646 -0.157429 0.444591
-0.301958 -0.152635 0.444604
-0.34227 -0.147213 0.444618
-0.381429 -0.141204 0.444634
-0.41928 -0.134653 0.44465
-0.455664 -0.127604 0.444668
-0.490425 -0.120105 0.444685
-0.523404 -0.112201 0.444703
-0.554445 -0.103938 0.444721
-0.583394 -0.0953597 0.444739
-0.610102 -0.0865071 0.444756
-0.634428 -0.0774193 0.444771
-0.656238 -0.0681325 0.444786
-0.67541 -0.05868 0.4448
-0.691831 -0.0490919 0.444811
-0.705405 -0.0393958 0.444821
-0.716051 -0.0296165 0.444829
-0.723702 -0.0197769 0.444835
-0.728312 -0.00989813 0.444838
-0.729852 8.94175e-17 0.444839
-0.728312 0.00989813 0.444838
-0.723702 0.0197769 0.444835
-0.716051 0.0296165 0.444829
-0.705405 0.0393958 0.444821
-0.691831 0.0490919 0.444811
-0.67541 0.05868 0.4448
-0.656238 0.0681325 0.444786
-0.634428 0.0774193 0.444771
-0.610102 0.0865071 0.444756
-0.583394 0.0953597 0.444739
-0.554445 0.103938 0.444721
-0.523404 0.112201 0.444703
-0.490425 0.120105 0.444685
-0.455664 0.127604 0.444668
-0.41928 0.134653 0.44465
-0.381429 0.141204 0.444634
-0.34227 0.147213 0.444618
-0.301958 0.152635 0.444604
-0.260646 0.157429 0.444591
-0.218485 0.161556 0.44458
-0.175622 0.164982 0.444571
-0.132201 0.167679 0.444563
-0.0883636 0.169622 0.444558
-0.0442506 0.170795 0.444555
1.89109e-16 0.171187 0.444554
0.0442506 0.170795 0.444555
0.0883636 0.169622 0.444558
0.132201 0.167679 0.444563
0.175622 0.164982 0.444571
0.218485 0.161556 0.44458
0.260646 0.157429 0.444591
0.301958 0.152635 0.444604
0.34227 0.147213 0.444618
0.381429 0.141204 0.444634
0.41928 0.134653 0.44465
0.455664 0.127604 0.444668
0.490425 0.120105 0.444685
0.523404 0.112201 0.444703
0.554445 0.103938 0.444721
0.583394 0.0953597 0.444739
0.610102 0.0865071 0.444756
0.634428 0.0774193 0.444771
0.656238 0.0681325 0.444786
0.67541 0.05868 0.4448
0.691831 0.0490919 0.444811
0.705405 0.0393958 0.444821
0.716051 0.0296165 0.444829
0.723702 0.0197769 0.444835
0.728312 0.00989813 0.444838
-----------------------------------
-----------------------------------
counter: 6
cost: 8.27888e-10
total mass  : 44.4695
partial mass: 44.4695
XM
0.730648 -1.07767e-16 0.444839
0.729093 -0.00981299 0.444838
0.72444 -0.0196097 0.444835
0.716719 -0.029373 0.444829
0.705979 -0.0390845 0.444821
0.692289 -0.048724 0.444811
0.675736 -0.0582685 0.444799
0.656421 -0.0676921 0.444786
0.634461 -0.0769657 0.444771
0.609984 -0.0860566 0.444755
0.583129 -0.0949287 0.444738
0.554044 -0.103543 0.444721
0.522881 -0.111855 0.444703
0.489799 -0.119822 0.444685
0.454957 -0.127395 0.444668
0.418516 -0.134525 0.44465
0.380637 -0.141164 0.444634
0.341476 -0.147263 0.444619
0.30119 -0.152774 0.444604
0.259931 -0.157652 0.444592
0.217848 -0.161857 0.444581
0.175083 -0.165351 0.444571
0.13178 -0.168103 0.444564
0.088075 -0.170087 0.444558
0.0441038 -0.171285 0.444555
1.75566e-16 -0.171686 0.444554
-0.0441038 -0.171285 0.444555
-0.088075 -0.170087 0.444558
-0.13178 -0.168103 0.444564
-0.175083 -0.165351 0.444571
-0.217848 -0.161857 0.444581
-0.259931 -0.157652 0.444592
-0.30119 -0.152774 0.444604
-0.341476 -0.147263 0.444619
-0.380637 -0.141164 0.444634
-0.418516 -0.134525 0.44465
-0.454957 -0.127395 0.444668
-0.489799 -0.119822 0.444685
-0.522881 -0.111855 0.444703
-0.554044 -0.103543 0.444721
-0.583129 -0.0949287 0.444738
-0.609984 -0.0860566 0.444755
-0.634461 -0.0769657 0.444771
-0.656421 -0.0676921 0.444786
-0.675736 -0.0582685 0.444799
-0.692289 -0.048724 0.444811
-0.705979 -0.0390845 0.444821
-0.716719 -0.029373 0.444829
-0.72444 -0.0196097 0.444835
-0.729093 -0.00981299 0.444838
-0.730648 8.96026e-17 0.444839
-0.729093 0.00981299 0.444838
-0.72444 0.0196097 0.444835
-0.716719 0.029373 0.444829
-0.705979 0.0390845 0.444821
-0.692289 0.048724 0.444811
-0.675736 0.0582685 0.444799
-0.656421 0.0676921 0.444786
-0.634461 0.0769657 0.444771
-0.609984 0.0860566 0.444755
-0.583129 0.0949287 0.444738
-0.554044 0.103543 0.444721
-0.522881 0.111855 0.444703
-0.489799 0.119822 0.444685
-0.454957 0.127395 0.444668
-0.418516 0.134525 0.44465
-0.380637 0.141164 0.444634
-0.341476 0.147263 0.444619
-0.30119 0.152774 0.444604
-0.259931 0.157652 0.444592
-0.217848 0.161857 0.444581
-0.175083 0.165351 0.444571
-0.13178 0.168103 0.444564
-0.088075 0.170087 0.444558
-0.0441038 0.171285 0.444555
2.16655e-16 0.171686 0.444554
0.0441038 0.171285 0.444555
0.088075 0.170087 0.444558
0.13178 0.168103 0.444564
0.175083 0.165351 0.444571
0.217848 0.161857 0.444581
0.259931 0.157652 0.444592
0.30119 0.152774 0.444604
0.341476 0.147263 0.444619
0.380637 0.141164 0.444634
0.418516 0.134525 0.44465
0.454957 0.127395 0.444668
0.489799 0.119822 0.444685
0.522881 0.111855 0.444703
0.554044 0.103543 0.444721
0.583129 0.0949287 0.444738
0.609984 0.0860566 0.444755
0.634461 0.0769657 0.444771
0.656421 0.0676921 0.444786
0.675736 0.0582685 0.444799
0.692289 0.048724 0.444811
0.705979 0.0390845 0.444821
0.716719 0.029373 0.444829
0.72444 0.0196097 0.444835
0.729093 0.00981299 0.444838
-----------------------------------
-----------------------------------
counter: 7
cost: 8.27833e-10
total mass  : 44.4695
partial mass: 44.4695
XM
0.731457 -1.07628e-16 0.444839
0.729888 -0.00972829 0.444838
0.725192 -0.0194432 0.444834
